Number,Title,Difficulty,Status[^status],Time[^time],Classification,Mastery[^mastery]
51,solveNQueens,Hard,[AC](./code/Solution_0051_solveNQueens.py),2021/10/16,Backtracking,¡ï¡ï¡ï¡î¡î
52,totalNQueens,Hard,[AC](./code/Solution_0052_totalNQueens.py),2021/10/16,Backtracking,¡ï¡ï¡ï¡î¡î
53,maxSubArray,Easy,[AC](./code/Solution_0053_maxSubArray.py),2021/9/25,---,---
54,spiralOrder,Medium,[AC](./code/Solution_0054_spiralOrder.py),2021/10/5,Array,¡ï¡ï¡ï¡ï¡î
55,canJump,Medium,[AC](./code/Solution_0055_canJump.py),2021/10/6,Greedy,¡ï¡ï¡ï¡ï¡ï
56,merge,Medium,[AC](./code/Solution_0056_merge.py),2021/10/6,Sorting,¡ï¡ï¡ï¡ï¡ï
57,insert,Medium,[AC](./code/Solution_0057_insert.py),2021/10/7,Array,¡ï¡ï¡î¡î¡î
58,lengthOfLastWord,Easy,[AC](./code/Solution_0058_lengthOfLastWord.py),2021/9/27,---,---
59,generateMatrix,Medium,[AC](./code/Solution_0059_generateMatrix.py),2021/10/7,Array,¡ï¡ï¡ï¡ï¡î
60,getPermutation,Hard,[AC](./code/Solution_0060_getPermutation.py),2021/10/8,Recursion,¡ï¡ï¡ï¡î¡î
61,rotateRight,Medium,[AC](./code/Solution_0061_rotateRight.py),2021/10/8,Linked List,¡ï¡ï¡ï¡î¡î
62,uniquePaths,Medium,[AC](./code/Solution_0062_uniquePaths.py),2021/10/8,DP,¡ï¡ï¡ï¡î¡î
63,uniquePathsWithObstacles,Medium,[AC](./code/Solution_0063_uniquePathsWithObstacles.py),2021/10/13,DP,¡ï¡ï¡ï¡ï¡î
64,minPathSum,Medium,[AC](./code/Solution_0064_minPathSum.py),2021/10/11,DP,¡ï¡ï¡ï¡ï¡î
65,isNumber,Hard,[AC](./code/Solution_0065_isNumber.py),2021/10/12,String,¡ï¡î¡î¡î¡î
66,plusOne,Easy,[AC](./code/Solution_0066_plusOne.py),2021/9/27,---,---
67,addBinary,Easy,[AC](./code/Solution_0067_addBinary.py),2021/9/27,---,---
68,fullJustify,Hard,[AC](./code/Solution_0068_fullJustify.py),2021/9/9,---,---
69,mySqrt,Easy,[AC](./code/Solution_0069_mySqrt.py),2021/9/27,---,---
70,climbStairs,Easy,[AC](./code/Solution_0070_climbStairs.py),2021/9/10,---,---
71,simplifyPath,Medium,[AC](./code/Solution_0071_simplifyPath.py),2021/10/15,String,¡ï¡ï¡ï¡ï¡î
72,minDistance,Hard,[AC](./code/Solution_0072_minDistance.py),2021/10/27,DP,¡ï¡ï¡ï¡ï¡î
73,setZeroes,Medium,[AC](./code/Solution_0073_setZeroes.py),2021/10/13,Array,¡ï¡ï¡ï¡ï¡î
74,searchMatrix,Medium,[AC](./code/Solution_0074_searchMatrix.py),2021/10/15,Search,¡ï¡ï¡ï¡ï¡î
75,sortColors,Medium,[AC](./code/Solution_0075_sortColors.py),2021/9/3,---,---
76,minWindow,Medium,[AC](./code/Solution_0076_minWindow.py),2021/10/15,Hash,¡ï¡ï¡î¡î¡î
77,combine,Medium,[AC](./code/Solution_0077_combine.py),2021/10/1,---,---
78,subsets,Medium,[AC](./code/Solution_0078_subsets.py),2021/10/15,Bit,¡ï¡ï¡ï¡ï¡î
79,exist,Medium,[AC](./code/Solution_0079_exist.py),2021/10/16,Backtracking,¡ï¡ï¡ï¡ï¡î
80,removeDuplicates,Medium,[AC](./code/Solution_0080_removeDuplicates.py),2021/10/16,Array,¡ï¡ï¡ï¡î¡î
81,search,Medium,[AC](./code/Solution_0081_search.py),2021/10/16,Search,¡ï¡ï¡ï¡î¡î
82,deleteDuplicates,Medium,[AC](./code/Solution_0082_deleteDuplicates.py),2021/10/19,Linked List,¡ï¡ï¡ï¡î¡î
83,deleteDuplicates,Easy,[AC](./code/Solution_0083_deleteDuplicates.py),2021/10/19,Linked List,¡ï¡ï¡ï¡î¡î
84,largestRectangleArea,Hard,[AC](./code/Solution_0084_largestRectangleArea.py),2021/10/21,Stack,¡ï¡ï¡î¡î¡î
85,maximalRectangle,Hard,[AC](./code/Solution_0085_maximalRectangle.py),2021/10/21,Stack,¡ï¡ï¡î¡î¡î
86,partition,Medium,[AC](./code/Solution_0086_partition.py),2021/10/21,Linked List,¡ï¡ï¡ï¡ï¡ï
87,isScramble,Hard,[AC](./code/Solution_0087_isScramble.py),2021/10/28,DP,¡ï¡ï¡ï¡î¡î
88,merge,Easy,[AC](./code/Solution_0088_merge.py),2021/10/22,Array,¡ï¡ï¡ï¡ï¡ï
89,grayCode,Medium,[AC](./code/Solution_0089_grayCode.py),2021/10/20,Math,¡ï¡ï¡ï¡î¡î
90,subsetsWithDup,Medium,[AC](./code/Solution_0090_subsetsWithDup.py),2021/10/22,Backtracking,¡ï¡ï¡ï¡ï¡î
91,numDecodings,Medium,[AC](./code/Solution_0091_numDecodings.py),2021/10/22,DP,¡ï¡î¡î¡î¡î
92,reverseBetween,Medium,[AC](./code/Solution_0092_reverseBetween.py),2021/10/22,Linked List,¡ï¡ï¡ï¡ï¡î
93,restoreIpAddresses,Medium,[AC](./code/Solution_0093_restoreIpAddresses.py),2021/10/22,Backtracking,¡ï¡ï¡ï¡ï¡î
94,inorderTraversal,Easy,[AC](./code/Solution_0094_inorderTraversal.py),2021/9/3,---,---
95,generateTrees,Medium,[AC](./code/Solution_0095_generateTrees.py),2021/10/24,Recursion,¡ï¡î¡î¡î¡î
96,numTrees,Medium,[AC](./code/Solution_0096_numTrees.py),2021/10/24,DP,¡ï¡ï¡ï¡î¡î
97,isInterleave,Medium,[AC](./code/Solution_0097_isInterleave.py),2021/10/24,DP,¡ï¡ï¡ï¡ï¡î
98,isValidBST,Medium,[AC](./code/Solution_0098_isValidBST.py),2021/9/3,---,---
99,recoverTree,Medium,[AC](./code/Solution_0099_recoverTree.py),2021/10/28,Tree,¡ï¡ï¡ï¡î¡î
100,isSameTree,Easy,[AC](./code/Solution_0100_isSameTree.py),2021/9/4,---,---
